symbol,total_volume,latest_price,avg_price,trades_count,expiration,expiration_date,option_type,strike
NQZ5 P13000,12,39.25,37.666666666666664,3,2025-12-19 14:30:00+00:00,2025-12-19,put,13000.0
UD:2V: GN 2517189,1,-30.5,-30.5,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
UD:2V: GN 2517885,1,962.0,962.0,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
UD:2V: GN 2518145,1,38.5,38.5,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
UD:2V: 12 2518496,1,168.0,168.0,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQU5 P16500,4,26.75,27.125,2,2025-09-19 13:30:00+00:00,2025-09-19,put,16500.0
UD:2V: DG 2519131,1,-78.0,-78.0,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQZ5 P20000,3,390.0,364.9166666666667,3,2025-12-19 14:30:00+00:00,2025-12-19,put,20000.0
NQZ5 C21000,1,2750.25,2750.25,1,2025-12-19 14:30:00+00:00,2025-12-19,call,21000.0
UD:2V: DG 2520805,1,48.0,48.0,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
UD:2V: VT 2563735,1,4.75,4.75,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
UD:2V: GN 2521601,1,1787.0,1787.0,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQU5 C22000,2,1416.0,1415.5,2,2025-09-19 13:30:00+00:00,2025-09-19,call,22000.0
NQU5 P20250,20,142.0,142.5,5,2025-09-19 13:30:00+00:00,2025-09-19,put,20250.0
NQZ5 P24000,15,1431.25,1453.3333333333333,3,2025-12-19 14:30:00+00:00,2025-12-19,put,24000.0
UD:2V: IC 2524221,17,185.0,178.08333333333334,3,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
UD:2V: VT 2524230,144,574.5,574.5,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQZ5 P18500,8,218.0,218.45,5,2025-12-19 14:30:00+00:00,2025-12-19,put,18500.0
NQU5 C25000,756,80.0,94.94852941176471,68,2025-09-19 13:30:00+00:00,2025-09-19,call,25000.0
UD:2V: VT 2510836,10,233.0,233.0,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
UD:2V: VT 2525575,1,256.75,256.75,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQU5 P19750,15,135.0,111.6875,4,2025-09-19 13:30:00+00:00,2025-09-19,put,19750.0
NQU5 P18500,17,64.25,60.666666666666664,9,2025-09-19 13:30:00+00:00,2025-09-19,put,18500.0
UD:2V: DG 2682200,26,-66.5,-94.86538461538461,26,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQU5 C26000,3,18.75,24.25,3,2025-09-19 13:30:00+00:00,2025-09-19,call,26000.0
UD:2V: DG 2682205,11,261.25,262.5,11,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQZ5 P21500,35,604.5,596.25,7,2025-12-19 14:30:00+00:00,2025-12-19,put,21500.0
NQH6 P13000,1,75.0,75.0,1,2026-03-20 13:30:00+00:00,2026-03-20,put,13000.0
UD:2V: VT 2527849,6,25.75,25.75,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
UD:2V: RR 2523337,20,-22.0,-22.0,6,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
UD:2V: GN 2528552,1,243.0,243.0,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
UD:2V: CO 2528619,3,81.75,83.25,2,2025-07-18 21:59:00+00:00,2025-07-18,call,
NQU5 P22250,72,457.0,425.9886363636364,22,2025-09-19 13:30:00+00:00,2025-09-19,put,22250.0
NQZ5 C25500,28,288.0,317.0,11,2025-12-19 14:30:00+00:00,2025-12-19,call,25500.0
UD:2V: VT 2530217,4,292.75,292.0,3,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
UD:2V: GN 2531120,1,62.0,62.0,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
UD:2V: 12 2531158,1,-74.5,-74.5,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
UD:2V: GN 2531143,1,-49.0,-49.0,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
UD:2V: VT 2531170,1,24.75,24.75,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
UD:2V: VT 2531548,30,75.0,71.0,2,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
UD:2V: DG 2682201,2,-297.0,-295.0,2,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
UD:2V: DG 2682227,4,-38.5,-37.0,4,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQU5 P20750,60,189.5,179.19230769230768,13,2025-09-19 13:30:00+00:00,2025-09-19,put,20750.0
UD:2V: VT 2533931,65,233.25,217.05,10,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
